PROJECT	DDE_NUM	DDE_TYPE	DATE_EN_AFFINAGE	DATE_PRET	DELAI	DDE_STATUT	DATE_LAST_UPDATE
IOT	IOT-22	Tâche	NULL	NULL	NULL	En cours	2017-02-24 12:25:35
LABS	LABS-48	Tâche	NULL	NULL	NULL	Fait	2017-02-20 10:16:36
LABS	LABS-49	Tâche	NULL	NULL	NULL	Fait	2017-02-20 09:33:32
LABS	LABS-50	Tâche	NULL	NULL	NULL	Fait	2017-02-14 18:34:36
BEA	BEA-1352	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-13 12:31:33
BEA	BEA-1353	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-13 12:31:37
BEA	BEA-1354	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-13 12:32:06
ST	ST-31	Epic	NULL	NULL	NULL	À faire	2017-02-13 13:23:17
ST	ST-32	Epic	NULL	NULL	NULL	À faire	2017-02-13 13:43:07
BEA	BEA-1355	Story	2017-02-13 13:43:35	2017-02-24 14:44:27	11	Prêt	2017-02-28 15:49:40
BEA	BEA-1356	Bogue	2017-02-13 17:17:46	2017-02-13 17:17:47	0	Fermé	2017-02-24 10:41:22
ZMTR	ZMTR-520	Tâche	NULL	NULL	NULL	En cours	2017-02-24 12:24:34
EXTR	EXTR-852	Story	NULL	NULL	NULL	Nouveau	2017-02-14 10:42:12
IOT	IOT-23	Tâche	NULL	NULL	NULL	En cours	2017-02-23 16:28:47
EXTR	EXTR-853	Bogue	2017-02-15 11:57:17	NULL	NULL	En Affinage	2017-02-15 11:57:17
EXTR	EXTR-854	Bogue	2017-02-15 12:58:39	2017-02-15 13:35:54	0	Prêt	2017-02-27 18:12:11
EXTR	EXTR-855	Bogue	2017-02-22 12:42:34	2017-02-22 12:46:27	0	Vérifié	2017-03-02 14:22:12
BEA	BEA-1357	Sous-tâche	NULL	NULL	NULL	Fait	2017-03-01 15:20:19
BEA	BEA-1358	Story	NULL	NULL	NULL	Nouveau	2017-02-16 16:45:03
BEA	BEA-1359	Story	NULL	NULL	NULL	Nouveau	2017-02-16 16:44:32
SJ	SJ-9	Story	2017-02-16 16:52:24	2017-02-16 16:52:31	0	Prêt	2017-02-16 19:04:08
BEA	BEA-1360	Story	NULL	NULL	NULL	Nouveau	2017-02-16 17:44:05
BI	BI-147	Story	2017-02-17 16:52:54	2017-02-17 16:52:56	0	En cours	2017-03-02 11:55:44
EXTR	EXTR-856	Bogue	2017-02-20 09:41:32	2017-02-20 09:42:31	0	En Affinage	2017-02-23 15:14:47
BOA	BOA-1423	Story	NULL	NULL	NULL	Nouveau	2017-02-21 09:22:38
BOA	BOA-1424	Story	2017-02-21 09:43:37	2017-02-21 09:43:41	0	Prêt	2017-02-21 09:43:47
EXTR	EXTR-857	Bogue	2017-02-22 08:58:48	NULL	NULL	En Affinage	2017-02-22 08:59:24
LABS	LABS-51	Tâche	NULL	NULL	NULL	À faire	2017-02-21 18:11:32
LABS	LABS-52	Tâche	NULL	NULL	NULL	À faire	2017-03-01 10:41:21
WEB	WEB-257	Bogue	NULL	NULL	NULL	Nouveau	2017-02-22 09:12:37
EXTR	EXTR-858	Story	2017-02-22 12:36:31	2017-02-22 12:41:17	0	Vérifié	2017-03-02 14:36:10
EXTR	EXTR-859	Bogue	2017-02-22 12:26:58	2017-02-22 16:28:04	0	Vérifié	2017-03-02 14:28:30
EXTR	EXTR-860	Bogue	2017-02-22 13:53:15	2017-02-22 13:53:17	0	Vérifié	2017-03-02 14:27:30
EXTR	EXTR-861	Bogue	2017-02-27 11:19:09	2017-02-27 11:19:12	0	Vérifié	2017-03-02 14:26:21
EXTR	EXTR-862	Bogue	2017-02-23 15:15:32	NULL	NULL	En Affinage	2017-02-28 14:31:55
BEA	BEA-1361	Bogue	2017-02-24 09:11:23	2017-02-24 09:11:25	0	En cours	2017-03-02 15:23:29
BEA	BEA-1362	Story	2017-02-24 09:24:14	NULL	NULL	En Affinage	2017-02-24 14:00:20
BEA	BEA-1363	Bogue	2017-02-24 16:42:21	2017-02-24 16:42:22	0	Réalisé	2017-02-28 11:10:49
ZMTR	ZMTR-521	Tâche	NULL	NULL	NULL	Fait	2017-02-27 15:58:18
BEA	BEA-1364	Story	2017-02-27 11:05:47	2017-02-27 11:05:49	0	Fermé	2017-02-28 16:29:28
BEA	BEA-1365	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-27 16:09:36
BEA	BEA-1366	Sous-tâche	NULL	NULL	NULL	Fait	2017-02-28 11:07:30
BOA	BOA-1425	Bogue	2017-03-01 13:40:26	2017-03-01 13:40:28	0	Réalisé	2017-03-01 18:35:27
IOT	IOT-25	Tâche	NULL	NULL	NULL	En cours	2017-03-01 14:54:07
BEA	BEA-1367	Story	2017-03-02 11:29:53	2017-03-02 11:33:32	0	En Affinage	2017-03-02 14:38:12
